subset,mae,completed
Amino20x4,0.5360972261,TRUE
BHROT27,0.9521555331,TRUE
FH51,1.630673547,TRUE
TAUT15,0.6161217129,TRUE
WCPT18,4.338402692,TRUE
ISOL24,2.690313417,TRUE
PCONF21,1.499769347,TRUE
ALK8,nan,FALSE
DARC,1.320782288,TRUE
ICONF,0.9851832671,TRUE
ISO34,0.798590363,TRUE
UPU23,2.171098947,TRUE
RG18,nan,FALSE
DC13,7.549697174,FALSE
BH76,4.388620978,FALSE
RSE43,nan,FALSE
INV24,2.120693028,TRUE
PX13,6.494225452,TRUE
RC21,nan,FALSE
CHB6,nan,FALSE
G2RC,1.936671375,FALSE
BHDIV10,4.899469016,TRUE
BHPERI,6.382817706,TRUE
NBPRC,21.88413813,TRUE
PArel,1.08029854,TRUE
AL2X6,nan,FALSE
HEAVYSB11,nan,FALSE
C60ISO,62.64600395,TRUE
SCONF,1.338107735,TRUE
MCONF,0.675916243,TRUE
DIPCS10,13.54572329,FALSE
S22,0.9317304832,TRUE
PA26,2.614317413,TRUE
YBDE18,2.815811189,FALSE
BH76RC,3.757372731,FALSE
IDISP,1.834229208,TRUE
MB16-43,2.942928036,FALSE
G21IP,nan,FALSE
HAL59,2.589478938,TRUE
BUT14DIOL,0.1656398523,TRUE
CARBHB12,1.98031196,TRUE
AHB21,1.575266634,TRUE
PNICO23,3.369669255,TRUE
G21EA,nan,FALSE
CDIE20,0.8023421365,TRUE
IL16,1.845911934,TRUE
BSR36,11.23784245,TRUE
HEAVY28,nan,FALSE
ALKBDE10,nan,FALSE
WATER27,9.570628395,TRUE
ADIM6,0.9959521366,TRUE
SIE4x4,nan,FALSE
S66,0.7221650358,TRUE
ACONF,0.2021087941,TRUE
W4-11,nan,FALSE
