subset,mae,completed
W4-11,,FALSE
G21EA,,FALSE
G21IP,,FALSE
DIPCS10,,FALSE
PA26,,FALSE
SIE4x4,,FALSE
ALKBDE10,,FALSE
YBDE18,,FALSE
AL2X6,,FALSE
HEAVYSB11,,FALSE
NBPRC,,FALSE
ALK8,,FALSE
RC21,,FALSE
G2RC,,FALSE
BH76RC,,FALSE
FH51,13.38,TRUE
TAUT15,2.51,TRUE
DC13,,FALSE
MB16-43,,FALSE
DARC,5.48,TRUE
RSE43,,FALSE
BSR36,8.85,TRUE
CDIE20,3.63,TRUE
ISO34,12.94,TRUE
ISOL24,,FALSE
C60ISO,44.94,TRUE
PArel,,FALSE
BH76,,FALSE
BHPERI,,FALSE
BHDIV10,,FALSE
INV24,,FALSE
BHROT27,1.42,TRUE
PX13,13.32,TRUE
WCPT18,6.13,TRUE
RG18,,FALSE
ADIM6,0.34,TRUE
S22,1.51,TRUE
S66,1.11,TRUE
HEAVY28,,FALSE
WATER27,,FALSE
CARBHB12,,FALSE
PNICO23,,FALSE
HAL59,,FALSE
AHB21,,FALSE
CHB6,,FALSE
IL16,,FALSE
IDISP,20.64,TRUE
ICONF,,FALSE
ACONF,0.16,TRUE
Amino20x4,1,TRUE
PCONF21,2.2,TRUE
MCONF,0.82,TRUE
SCONF,2.47,TRUE
UPU23,,FALSE
BUT14DIOL,1.42,TRUE
