subset,mae,completed
ACONF,0.19,TRUE
ADIM6,1.15,TRUE
AHB21,2.97,TRUE
AL2x6,14.63,TRUE
ALK8,23.91,TRUE
ALKBDE10,,FALSE
Amino20x4,0.95,TRUE
BH76,8.41,TRUE
BH76RC,,FALSE
BHDIV10,8.12,TRUE
BHPERI,10.24,TRUE
BHROT27,1.17,TRUE
BSR36,2.76,TRUE
BUT14DIOL,1.25,TRUE
C60ISO,5.8,TRUE
CARBHB12,1.14,TRUE
CDIE20,1.8,TRUE
CHB6,5.4,TRUE
DARC,17.77,TRUE
DC13,,FALSE
DIPCS10,274.75,TRUE
FH51,11.41,TRUE
G21EA,,FALSE
G21IP,,FALSE
G2RC,21.92,TRUE
HAL59,1.28,TRUE
HEAVY28,0.61,TRUE
HEAVYSB11,,FALSE
ICONF,1.63,TRUE
IDISP,6.78,TRUE
IL16,4.32,TRUE
INV24,3.32,TRUE
ISO34,6.9,TRUE
ISOL24,11.68,TRUE
MB16-43,,FALSE
MCONF,1.72,TRUE
NBPRC,8.05,TRUE
PA26,163.05,TRUE
PArel,5.86,TRUE
PCONF21,1.76,TRUE
PNICO23,1.11,TRUE
PX13,2.74,TRUE
RC21,,FALSE
RG18,0.11,TRUE
RSE43,,FALSE
S22,0.76,TRUE
S66,0.73,TRUE
SCONF,1.64,TRUE
SIE4x4,,FALSE
TAUT15,0.98,TRUE
UPU23,2.91,TRUE
W4-11,,FALSE
WATER27,3.15,TRUE
WCPT18,3.84,TRUE
YBDE18,,FALSE
