Subset,MAE,Completed
Amino20x4,0.3086823388656136,True
BHROT27,0.44230968062765896,True
FH51,4.7329870334669994,True
TAUT15,0.48208610351795017,True
WCPT18,14.718520838754293,True
ISOL24,1.8222359463767235,False
PCONF21,0.5946599392199681,True
ALK8,,False
DARC,1.0587710431690673,True
ICONF,1.275965771461936,False
ISO34,0.7342198888434829,True
UPU23,,False
RG18,,False
DC13,45.923108349596646,False
BH76,,False
RSE43,,False
INV24,7.373589115896902,False
PX13,34.78462858323272,True
RC21,,False
CHB6,,False
G2RC,19.306151214445986,False
BHDIV10,18.996294277345527,False
BHPERI,25.845295578120805,False
NBPRC,,False
PArel,,False
AL2X6,,False
HEAVYSB11,,False
C60ISO,17.973112326350268,True
SCONF,0.6477272403646973,True
MCONF,0.4135194087215681,True
DIPCS10,,False
S22,0.31849007014303726,True
PA26,,False
YBDE18,,False
BH76RC,,False
IDISP,1.5862363832019035,True
MB16-43,,False
G21IP,,False
HAL59,7.587889867742602,True
BUT14DIOL,0.21824662475399237,True
CARBHB12,7.76611044516451,False
AHB21,,False
PNICO23,4.480278821356755,False
G21EA,,False
CDIE20,2.482132404787699,True
IL16,,False
BSR36,2.0735194417196263,True
HEAVY28,,False
ALKBDE10,,False
WATER27,1.0182410818873473,False
ADIM6,0.381931453459644,True
SIE4x4,,False
S66,0.22450230823725267,True
ACONF,0.12033012043765438,True
W4-11,,False
