Subset,MAE,Completed
Amino20x4,0.3277353039556881,True
BHROT27,0.4307024486461455,True
FH51,4.597607206056407,True
TAUT15,0.6086965364589508,True
WCPT18,15.238366973198266,True
ISOL24,2.2203962402228816,False
PCONF21,0.7438935329501206,True
ALK8,,False
DARC,1.071293995881986,True
ICONF,1.0539963980012377,False
ISO34,0.6357722088994511,True
UPU23,,False
RG18,,False
DC13,30.467846916847957,False
BH76,,False
RSE43,,False
INV24,8.59795261230056,False
PX13,31.52595308180652,True
RC21,,False
CHB6,,False
G2RC,18.31310822402031,False
BHDIV10,17.681102324225588,False
BHPERI,35.35453876660083,False
NBPRC,,False
PArel,,False
AL2X6,,False
HEAVYSB11,,False
C60ISO,29.31338997405333,True
SCONF,0.9881461627040442,True
MCONF,0.5143233417590861,True
DIPCS10,,False
S22,0.328615774265099,True
PA26,,False
YBDE18,,False
BH76RC,,False
IDISP,1.2394442965893542,True
MB16-43,,False
G21IP,,False
HAL59,8.307508107522844,True
BUT14DIOL,0.4976793243537213,True
CARBHB12,4.856911349839439,False
AHB21,,False
PNICO23,5.794267979867846,False
G21EA,,False
CDIE20,2.359959179686557,True
IL16,,False
BSR36,2.0707043904525926,True
HEAVY28,,False
ALKBDE10,,False
WATER27,1.001436572278661,False
ADIM6,0.4494926839096783,True
SIE4x4,,False
S66,0.27975806366625344,True
ACONF,0.05238769531048214,True
W4-11,,False
