Subset,MAE,Completed
Amino20x4,0.5397799450710125,True
BHROT27,0.8347276963996139,True
FH51,4.549089856139846,True
TAUT15,0.6010518359371927,True
WCPT18,9.243246119518654,True
ISOL24,2.402362264743794,False
PCONF21,1.0344796766361428,True
ALK8,,False
DARC,2.118830653597876,True
ICONF,3.9092877403832977,False
ISO34,0.8099757855589782,True
UPU23,,False
RG18,,False
DC13,24.850739491491442,False
BH76,,False
RSE43,,False
INV24,7.212074142462916,False
PX13,14.12455108360535,True
RC21,,False
CHB6,,False
G2RC,18.367965306377272,False
BHDIV10,7.58632847167691,False
BHPERI,28.796595329096252,False
NBPRC,,False
PArel,,False
AL2X6,,False
HEAVYSB11,,False
C60ISO,41.901151475779095,True
SCONF,1.3755904067222795,True
MCONF,0.86550658701289,True
DIPCS10,,False
S22,0.5097393532464103,True
PA26,,False
YBDE18,,False
BH76RC,,False
IDISP,1.5480589537140144,True
MB16-43,,False
G21IP,,False
HAL59,8.2552187818436,True
BUT14DIOL,0.39147380828853784,True
CARBHB12,7.45995118544666,False
AHB21,,False
PNICO23,4.7612945012901955,False
G21EA,,False
CDIE20,1.227024916988594,True
IL16,,False
BSR36,2.2003531406069428,True
HEAVY28,,False
ALKBDE10,,False
WATER27,1.5805039236976444,False
ADIM6,0.25245096027618286,True
SIE4x4,,False
S66,0.40402486904494284,True
ACONF,0.10603190755251178,True
W4-11,,False
