Subset,MAE,Completed
Amino20x4,1.4715988426876336,True
BHROT27,2.7717247386225674,True
FH51,34.05631572324904,True
TAUT15,2.145289487558969,True
WCPT18,27.29077723915843,True
ISOL24,8.483198237887263,False
PCONF21,2.106461684841557,True
ALK8,173.13970728217535,False
DARC,86.03253742810655,True
ICONF,2.4586485769944986,True
ISO34,5.517349368555397,True
UPU23,,False
RG18,,False
DC13,17.761000940622782,False
BH76,,False
RSE43,,False
INV24,8.221570293220784,False
PX13,14.49544250607854,True
RC21,,False
CHB6,,False
G2RC,51.53471934890844,True
BHDIV10,10.205558881397286,True
BHPERI,53.71781585319958,True
NBPRC,471.4222303851962,True
PArel,,False
AL2X6,37.561764817047084,True
HEAVYSB11,,False
C60ISO,7.98784141370963,True
SCONF,1.1753318378223445,True
MCONF,0.7427991727641676,True
DIPCS10,,False
S22,62.57168436506878,True
PA26,,False
YBDE18,27.806303229236576,False
BH76RC,,False
IDISP,18.505624514738866,True
MB16-43,,False
G21IP,,False
HAL59,60.79006696741741,True
BUT14DIOL,3.2882347443580686,True
CARBHB12,37.65169656785331,True
AHB21,,False
PNICO23,39.18106544224697,True
G21EA,,False
CDIE20,1.8892709198378905,True
IL16,,False
BSR36,45.96237835081428,True
HEAVY28,15.748608167126353,True
ALKBDE10,,False
WATER27,380.9261613022873,False
ADIM6,42.474865264638254,True
SIE4x4,,False
S66,70.33843164910985,True
ACONF,1.4419497739664358,True
W4-11,,False
