Subset,MAE,Completed
Amino20x4,1.7495161852836603,True
BHROT27,2.0648267904740574,True
FH51,4.81235356838747,True
TAUT15,2.581304530092856,True
WCPT18,10.946290047237616,True
ISOL24,7.0463642391553405,False
PCONF21,2.0206287311131184,True
ALK8,10.80333855859209,False
DARC,10.348195864336814,True
ICONF,1.7850476523904182,True
ISO34,2.9074891547932387,True
UPU23,,False
RG18,5.158998812720504,True
DC13,13.087924497675807,False
BH76,,False
RSE43,,False
INV24,6.531829387336959,False
PX13,12.080683011267734,True
RC21,,False
CHB6,,False
G2RC,10.471009778759008,True
BHDIV10,11.426498353309663,True
BHPERI,6.252490746498102,True
NBPRC,16.82437863361831,True
PArel,,False
AL2X6,2.4060879183134265,True
HEAVYSB11,,False
C60ISO,30.34849384901277,True
SCONF,2.9589311814251844,True
MCONF,4.28170150750842,True
DIPCS10,,False
S22,3.3658263428471216,True
PA26,,False
YBDE18,4.722706878376201,False
BH76RC,,False
IDISP,9.42104253959677,True
MB16-43,,False
G21IP,,False
HAL59,2.7503286812814522,True
BUT14DIOL,2.237986527907834,True
CARBHB12,1.896308726398101,True
AHB21,,False
PNICO23,2.4446688385424515,True
G21EA,,False
CDIE20,2.0124950583267553,True
IL16,,False
BSR36,1.9355837013563375,True
HEAVY28,2.0902986760718503,True
ALKBDE10,,False
WATER27,50.65737628137041,False
ADIM6,5.908358135986272,True
SIE4x4,,False
S66,3.0409531583497262,True
ACONF,2.557566321461995,True
W4-11,,False
