subset,mae,completed
W4-11,,FALSE
G21EA,,FALSE
G21IP,,FALSE
DIPCS10,,FALSE
PA26,5.29,TRUE
SIE4x4,,FALSE
ALKBDE10,,FALSE
YBDE18,,FALSE
AL2X6,,FALSE
HEAVYSB11,,FALSE
NBPRC,10.27,TRUE
ALK8,60.55,TRUE
RC21,,FALSE
G2RC,,FALSE
BH76RC,,FALSE
FH51,3.58,TRUE
TAUT15,1.13,TRUE
DC13,,FALSE
MB16-43,,FALSE
DARC,1.31,TRUE
RSE43,,FALSE
BSR36,0.77,TRUE
CDIE20,0.61,TRUE
ISO34,1.21,TRUE
ISOL24,2.64,TRUE
C60ISO,11.82,TRUE
PArel,1.6,TRUE
BH76,,FALSE
BHPERI,4.72,TRUE
BHDIV10,6.83,TRUE
INV24,4.59,TRUE
BHROT27,0.39,TRUE
PX13,14.84,TRUE
WCPT18,4.91,TRUE
RG18,,FALSE
ADIM6,0.4,TRUE
S22,0.45,TRUE
S66,0.48,TRUE
HEAVY28,,FALSE
WATER27,2.39,TRUE
CARBHB12,0.91,TRUE
PNICO23,1.71,TRUE
HAL59,2.15,TRUE
AHB21,1.81,TRUE
CHB6,3.58,TRUE
IL16,4.6,TRUE
IDISP,2.61,TRUE
ICONF,1.25,TRUE
ACONF,0.06,TRUE
Amino20x4,0.35,TRUE
PCONF21,0.47,TRUE
MCONF,0.42,TRUE
SCONF,0.32,TRUE
UPU23,0.87,TRUE
BUT14DIOL,0.4,TRUE
