subset,mae,completed
W4-11,15.68,TRUE
G21EA,3.43,TRUE
G21IP,3.85,TRUE
DIPCS10,4.5,TRUE
PA26,2.19,TRUE
SIE4x4,23.72,TRUE
ALKBDE10,6.3,TRUE
YBDE18,4.93,TRUE
AL2X6,1.63,TRUE
HEAVYSB11,3.55,TRUE
NBPRC,2.41,TRUE
ALK8,4.14,TRUE
RC21,6.85,TRUE
G2RC,6.92,TRUE
BH76RC,4.18,TRUE
FH51,3.17,TRUE
TAUT15,1.84,TRUE
DC13,8.63,TRUE
MB16-43,24.26,TRUE
DARC,3.31,TRUE
RSE43,2.92,TRUE
BSR36,3.18,TRUE
CDIE20,1.65,TRUE
ISO34,1.49,TRUE
ISOL24,4.39,TRUE
C60ISO,10.72,TRUE
PArel,1.81,TRUE
BH76,9.62,TRUE
BHPERI,6.69,TRUE
BHDIV10,8.87,TRUE
INV24,2.07,TRUE
BHROT27,0.47,TRUE
PX13,12.02,TRUE
WCPT18,9.34,TRUE
RG18,0.26,TRUE
ADIM6,0.21,TRUE
S22,0.48,TRUE
S66,0.4,TRUE
HEAVY28,0.42,TRUE
WATER27,8.92,TRUE
CARBHB12,1.91,TRUE
PNICO23,1.32,TRUE
HAL59,1.18,TRUE
AHB21,1.15,TRUE
CHB6,0.93,TRUE
IL16,0.59,TRUE
IDISP,2.76,TRUE
ICONF,0.32,TRUE
ACONF,0.07,TRUE
Amino20x4,0.34,TRUE
PCONF21,1.25,TRUE
MCONF,0.49,TRUE
SCONF,0.8,TRUE
UPU23,0.53,TRUE
BUT14DIOL,0.46,TRUE
