Subset,MAE,Completed
Amino20x4,0.73098624,True
BHROT27,2.0070772,True
FH51,12.73333,True
TAUT15,4.234342,True
WCPT18,7.7177744,True
ISOL24,14.158822,False
PCONF21,1.9594773,True
ALK8,,False
DARC,14.964752,True
ICONF,3.500138,False
ISO34,5.9760528,True
UPU23,,False
RG18,,False
DC13,27.154446,False
BH76,,False
RSE43,,False
INV24,15.291625,False
PX13,22.161924,True
RC21,,False
CHB6,,False
G2RC,18.935568,False
BHDIV10,3.393835,False
BHPERI,13.381932,False
NBPRC,,False
PArel,,False
AL2X6,,False
HEAVYSB11,,False
C60ISO,28.063042,True
SCONF,2.1608207,True
MCONF,0.79316765,True
DIPCS10,,False
S22,1.9110268,True
PA26,,False
YBDE18,,False
BH76RC,,False
IDISP,15.130981,True
MB16-43,,False
G21IP,,False
HAL59,,False
BUT14DIOL,0.5936742,True
CARBHB12,2.6094613,False
AHB21,,False
PNICO23,5.615953,False
G21EA,,False
CDIE20,3.3184032,True
IL16,,False
BSR36,33.964176,True
HEAVY28,,False
ALKBDE10,,False
WATER27,30.732792,False
ADIM6,0.27282515,True
SIE4x4,,False
S66,1.2678804,True
ACONF,0.256923,True
W4-11,,False
