subset,mae,completed
ACONF,0.18,TRUE
ADIM6,0.35,TRUE
AHB21,0.38,TRUE
AL2x6,2.11,TRUE
ALK8,2.77,TRUE
ALKBDE10,5.56,TRUE
AMINO20x4,0.25,TRUE
BH76,1.41,TRUE
BH76RC,1.25,TRUE
BHDIV10,1.11,TRUE
BHPERI,1.3,TRUE
BHROT27,0.21,TRUE
BSR36,2.24,TRUE
BUT14DIOL,0.17,TRUE
C60ISO,13.2,TRUE
CARBHB12,0.22,TRUE
CDIE20,0.65,TRUE
CHB6,1.09,TRUE
DARC,1.38,TRUE
DC13,5.54,TRUE
DIPCS10,3.13,TRUE
FH51,1.05,TRUE
G21EA,3.4,TRUE
G21IP,3.2,TRUE
G2RC,1.72,TRUE
HAL59,0.48,TRUE
HEAVY28,0.28,TRUE
HEAVYSB11,2.79,TRUE
ICONF,0.19,TRUE
IDISP,1.45,TRUE
IL16,1.21,TRUE
INV24,1.48,TRUE
ISO34,0.63,TRUE
ISOL24,1.76,TRUE
MB16-43,21.65,TRUE
MCONF,0.2,TRUE
NBPRC,1.38,TRUE
PA26,1.51,TRUE
PArel,0.61,TRUE
PCONF21,0.33,TRUE
PNICO23,0.3,TRUE
PX13,1.3,TRUE
RC21,1.84,TRUE
RG18,0.12,TRUE
RSE43,1.21,TRUE
S22,0.25,TRUE
S66,0.2,TRUE
SCONF,0.15,TRUE
SIE4x4,10.92,TRUE
TAUT15,0.31,TRUE
UPU23,0.68,TRUE
W4-11,3.04,TRUE
WATER27,0.45,TRUE
WCPT18,1.16,TRUE
YBDE18,3.41,TRUE
